method,curve_key,accuracy,correct,n,avg_flops_tflops,pct_lrm_flops,distance_to_ba80_tflops,distance_to_ba80_pct_lrm,regen_ratio,threshold,checkpoint,checkpoint_file,checkpoint_dir,checkpoint_kind,lambda,seed,epoch
TRIM-Agg,ppo_agg,61.5,123,200,367.883113,82.50708873049835,11.178622599999983,2.507088730498353,0.7065144392209537,0.67045,trim_agg_omnimath13_to34_point_search_lam2e-5_seed1/epoch_0030.pt,checkpoints/trim_agg_omnimath13_to34_point_search_lam2e-5_seed1/epoch_0030.pt,trim_agg_omnimath13_to34_point_search_lam2e-5_seed1,epoch,2e-05,1,30
TRIM-Agg,ppo_agg,61.5,123,200,367.903553,82.5116729172524,11.19906259999999,2.5116729172523975,0.6902283411685695,0.7467,trim_agg_omnimath13_to34_point_search_lam0_seed1/final.pt,checkpoints/trim_agg_omnimath13_to34_point_search_lam0_seed1/final.pt,trim_agg_omnimath13_to34_point_search_lam0_seed1,final,0.0,1,
TRIM-Agg,ppo_agg,61.5,123,200,367.903553,82.5116729172524,11.19906259999999,2.5116729172523975,0.6902283411685695,0.7467,trim_agg_omnimath13_to34_point_search_lam0_seed1/epoch_0040.pt,checkpoints/trim_agg_omnimath13_to34_point_search_lam0_seed1/epoch_0040.pt,trim_agg_omnimath13_to34_point_search_lam0_seed1,epoch,0.0,1,40
TRIM-Agg,ppo_agg,62.0,124,200,345.412273,77.46743476375369,11.29221739999997,2.532565236246313,0.617696440564137,0.75925,trim_agg_omnimath13_to34_point_search_lam0_seed1/best.pt,checkpoints/trim_agg_omnimath13_to34_point_search_lam0_seed1/best.pt,trim_agg_omnimath13_to34_point_search_lam0_seed1,best,0.0,1,
TRIM-Agg,ppo_agg,62.0,124,200,369.022433,82.76261004422723,12.31794259999998,2.7626100442272303,0.6882135661517798,0.7568,trim_agg_omnimath13_to34_point_search_lam0_seed1/best.pt,checkpoints/trim_agg_omnimath13_to34_point_search_lam0_seed1/best.pt,trim_agg_omnimath13_to34_point_search_lam0_seed1,best,0.0,1,
TRIM-Agg,ppo_agg,61.5,123,200,369.355493,82.83730716948665,12.651002600000027,2.8373071694866496,0.6961047683008731,0.74635,trim_agg_omnimath13_to34_point_search_lam0_seed1/final.pt,checkpoints/trim_agg_omnimath13_to34_point_search_lam0_seed1/final.pt,trim_agg_omnimath13_to34_point_search_lam0_seed1,final,0.0,1,
TRIM-Agg,ppo_agg,61.5,123,200,369.355493,82.83730716948665,12.651002600000027,2.8373071694866496,0.6961047683008731,0.74635,trim_agg_omnimath13_to34_point_search_lam0_seed1/epoch_0040.pt,checkpoints/trim_agg_omnimath13_to34_point_search_lam0_seed1/epoch_0040.pt,trim_agg_omnimath13_to34_point_search_lam0_seed1,epoch,0.0,1,40
TRIM-Agg,ppo_agg,61.5,123,200,369.435573,82.85526713402989,12.73108259999998,2.855267134029887,0.7110476830087307,0.6701,trim_agg_omnimath13_to34_point_search_lam2e-5_seed1/epoch_0030.pt,checkpoints/trim_agg_omnimath13_to34_point_search_lam2e-5_seed1/epoch_0030.pt,trim_agg_omnimath13_to34_point_search_lam2e-5_seed1,epoch,2e-05,1,30
TRIM-Agg,ppo_agg,62.0,124,200,370.087553,83.00149013206816,13.383062600000017,3.001490132068156,0.7177635997313633,0.75,trim_agg_omnimath13_to34_point_search_lam5e-6_seed1/epoch_0030.pt,checkpoints/trim_agg_omnimath13_to34_point_search_lam5e-6_seed1/epoch_0030.pt,trim_agg_omnimath13_to34_point_search_lam5e-6_seed1,epoch,5e-06,1,30
TRIM-Agg,ppo_agg,62.0,124,200,343.070773,76.94229419210025,13.633717400000023,3.057705807899751,0.611316319677636,0.75055,trim_agg_omnimath13_to34_point_search_lam0_seed1/final.pt,checkpoints/trim_agg_omnimath13_to34_point_search_lam0_seed1/final.pt,trim_agg_omnimath13_to34_point_search_lam0_seed1,final,0.0,1,
TRIM-Agg,ppo_agg,62.0,124,200,343.070773,76.94229419210025,13.633717400000023,3.057705807899751,0.611316319677636,0.75055,trim_agg_omnimath13_to34_point_search_lam0_seed1/epoch_0040.pt,checkpoints/trim_agg_omnimath13_to34_point_search_lam0_seed1/epoch_0040.pt,trim_agg_omnimath13_to34_point_search_lam0_seed1,epoch,0.0,1,40
TRIM-Agg,ppo_agg,62.0,124,200,370.342633,83.05869827087548,13.63814259999998,3.0586982708754817,0.7145735392881128,0.66975,trim_agg_omnimath13_to34_point_search_lam2e-5_seed1/epoch_0030.pt,checkpoints/trim_agg_omnimath13_to34_point_search_lam2e-5_seed1/epoch_0030.pt,trim_agg_omnimath13_to34_point_search_lam2e-5_seed1,epoch,2e-05,1,30
